cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.32653061224489793
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7272727272727273
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.48148148148148157
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8421052631578947
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8860759493670887
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6666666666666666
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.2608695652173913
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7951807228915663
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.22727272727272727
